experimento	fecha	cols	rows	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
8101HTa	20220701 155028	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.237051826880742	0.138259828108992	947	2200	95	0.0067512362919203	9012	12228000	89
8101HTa	20220701 155127	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.122949501124294	0.187329562072479	538	1599	163	0.0031516219065018	10100	12940000	90
8101HTa	20220701 155255	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.10866513983475	0.858515521227312	252	5902	46	0.0206042205921756	9016	14144000	91
8101HTa	20220701 155420	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.248975494035724	0.486229236009857	957	279	191	5.8244978689813e-46	12950	11170000	92
8101HTa	20220701 155534	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.201119534726525	0.333622198364511	589	7999	259	0.00908509827251088	8010	11910000	93
8101HTa	20220701 155643	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.229155550490813	0.518765215917537	643	4273	59	0.0146207477023462	9774	12066000	94
8101HTa	20220701 155741	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0860781571776047	0.321540998298954	191	2318	131	0.0179723920891838	8638	12962000	95
8101HTa	20220701 155900	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.148604864935856	0.562467300868337	284	6841	43	0.0173267164363736	10470	14730000	96
8101HTa	20220701 160011	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.109701075621936	0.291893347817403	194	4359	183	0.00856674005613213	11414	13186000	97
8101HTa	20220701 160143	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.117668459789092	0.876139235755522	696	6314	70	0.0135527672704197	11784	13536000	98
8101HTa	20220701 160329	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.14680800572901	0.865958362022298	200	1861	143	0.00670999725397592	9722	13438000	99
8101HTa	20220701 161050	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.025516095352089	0.67403223798289	856	5484	1077	0.00749818904236084	10564	13676000	100
8101HTa	20220701 161248	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.256368232908649	0.936169395356765	692	1902	73	0.00298242385267504	10126	10874000	101
8101HTa	20220701 161313	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.239209898851328	0.211236353384797	82	3780	23	0.0130782408994664	11718	13482000	102
8101HTa	20220701 161408	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.230639626231827	0.429004823934217	831	5095	44	0.0143921740933547	11168	13672000	103
8101HTa	20220701 161439	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.140834141766038	0.191001194075355	415	6634	40	0.0208543757163908	9348	14532000	104
